trial,target,delay,time,scrollCount_totalScrollCount,scrollCount_upScrollCount,scrollCount_downScrollCount,scrollCount_reverseScrollCount,participants
1,DIV 5,0,3.956,52,21,31,21,1
2,DIV 1,50,3.108,31,31,0,0,1
3,DIV 1,250,3.238,20,20,0,0,1
4,DIV 7,100,4.537,66,0,66,0,1
5,DIV 2,200,3.081,35,35,0,0,1
6,DIV 5,150,3.937,42,14,28,14,1
7,DIV 5,0,2.48,15,0,15,0,1
8,DIV 1,50,3.378,45,45,0,0,1
9,DIV 5,250,3.14,18,0,18,0,1
10,DIV 3,100,4.325,44,30,14,14,1
11,DIV 1,200,3.288,36,36,0,0,1
12,DIV 5,150,3.65,28,8,20,8,1
13,DIV 3,0,2.511,19,19,0,0,1
14,DIV 6,50,2.827,33,0,33,0,1
15,DIV 3,250,4.657,57,36,21,21,1
16,DIV 3,100,3.815,22,21,1,1,1
17,DIV 5,200,4.002,25,4,21,4,1
18,DIV 2,150,3.715,46,46,0,0,1
19,DIV 2,0,3.531,45,45,0,0,1
20,DIV 6,50,3.004,38,0,38,0,1
21,DIV 5,250,4.753,42,13,29,13,1
22,DIV 3,100,3.18,27,25,2,2,1
23,DIV 3,200,3.878,32,29,3,3,1
24,DIV 3,150,3.389,31,27,4,4,1
25,DIV 7,0,3.422,49,0,49,0,1
26,DIV 3,50,4.088,30,26,4,4,1
27,DIV 7,250,3.37,35,0,35,0,1
28,DIV 2,100,3.84,48,48,0,0,1
29,DIV 5,200,3.533,30,7,23,7,1
30,DIV 5,150,2.705,18,0,18,0,1
31,DIV 1,0,3.273,41,41,0,0,1
32,DIV 5,50,2.861,18,0,18,0,1
33,DIV 3,250,3.821,45,34,11,11,1
34,DIV 7,100,3.244,39,0,39,0,1
35,DIV 7,200,3.444,39,0,39,0,1
36,DIV 6,150,2.926,31,0,31,0,1
37,DIV 2,0,4.129,43,43,0,0,1
38,DIV 1,50,3.771,38,38,0,0,1
39,DIV 5,250,4.785,24,5,19,5,1
40,DIV 5,100,2.946,21,0,21,0,1
41,DIV 7,200,3.027,39,0,39,0,1
42,DIV 3,150,3.216,30,25,5,5,1
43,DIV 6,0,3.189,36,0,36,0,1
44,DIV 7,50,3.34,38,0,38,0,1
45,DIV 1,250,3.464,46,46,0,0,1
46,DIV 5,100,3.501,25,4,21,4,1
47,DIV 1,200,3.178,47,47,0,0,1
48,DIV 2,150,4.294,39,37,2,2,1
49,DIV 7,0,2.988,33,0,33,0,1
50,DIV 6,50,2.756,27,0,27,0,1
51,DIV 6,250,2.977,29,0,29,0,1
52,DIV 5,100,2.945,22,5,17,5,1
53,DIV 2,200,3.284,39,39,0,0,1
54,DIV 2,150,3.014,37,37,0,0,1
55,DIV 6,0,2.856,26,0,26,0,1
56,DIV 3,50,2.756,26,26,0,0,1
57,DIV 1,250,3.468,42,42,0,0,1
58,DIV 1,100,4.028,49,49,0,0,1
59,DIV 7,200,3.741,38,0,38,0,1
60,DIV 3,150,4.067,32,29,3,3,1
61,DIV 6,0,2.979,28,0,28,0,1
62,DIV 7,50,3.239,33,0,33,0,1
63,DIV 7,250,3.646,47,0,47,0,1
64,DIV 6,100,2.815,29,0,29,0,1
65,DIV 6,200,3.055,30,0,30,0,1
66,DIV 7,150,3.484,44,0,44,0,1
67,DIV 2,0,3.422,36,36,0,0,1
68,DIV 7,50,3.076,37,0,37,0,1
69,DIV 3,250,3.809,50,34,16,16,1
70,DIV 7,100,3.051,35,0,35,0,1
71,DIV 1,200,3.298,45,45,0,0,1
72,DIV 7,150,3.373,45,0,45,0,1
73,DIV 7,0,3.226,36,0,36,0,1
74,DIV 5,50,2.397,14,0,14,0,1
75,DIV 7,250,3.339,47,0,47,0,1
76,DIV 1,100,3.51,51,51,0,0,1
77,DIV 5,200,3.658,30,8,22,8,1
